body,label
Hot singles in your area want to chat. Click ow.ly/pay now!,1
Thanks for your help today. Let’s sync on the report tomorrow.,0
"Your two-factor code is 373441. If you didn’t request this, ignore this message.",0
"Hi John, here are the minutes from today’s call. Action items attached.",0
Final notice: Invoice ORD-1195 is past due. Settle at is.gd/xyZ1 to avoid legal action.,1
Please find attached the meeting notes and spreadsheet from finance.,0
Limited-time deal: FREE iPhone for survey participants. Redeem here t.co/claim,1
"Meeting moved to 3pm. Agenda: roadmap, metrics, blockers.",0
"Meeting moved to 3pm. Agenda: roadmap, metrics, blockers.",0
Monthly bank statement is ready in the app. (No action required.),0
FYI: Jenkins build #123 passed on main. No changes required.,0
"Your Apple ID has been used from Russia. If this wasn't you, login at t.co/claim",1
URGENT: Your Acme account will be suspended. Verify now at https://secure-login.com/verify to avoid loss of access.,1
Your email storage is full. Upgrade at is.gd/xyZ1 to avoid losing messages.,1
Your support ticket CS-3730 has been updated. We’ll follow up by Wednesday.,0
"Dear Beneficiary, your inheritance is ready. Provide your full details to process funds.",1
Your email storage is full. Upgrade at tinyurl.com/aB3c to avoid losing messages.,1
Your support ticket CS-6530 has been updated. We’ll follow up by Friday.,0
Your subscription to Pro Plan renewed successfully. Amount: 147.24 BRL.,0
Thanks for your help today. Let’s sync on the report tomorrow.,0
Tax refund available—submit bank details now: is.gd/xyZ1,1
Thanks! I’ll be there in 5 minutes.,0
Limited-time deal: FREE iPhone for survey participants. Redeem here tinyurl.com/aB3c,1
"CONFIDENTIAL: Wei, I have a million-dollar opportunity. Reply urgently and keep this private.",1
Reminder: team standup is at 10:00 AM Wednesday.,0
Lunch tomorrow? I can do 12:30.,0
Shipping update: your package is out for delivery today.,0
Tax refund available—submit bank details now: tinyurl.com/aB3c,1
"Dear Beneficiary, your inheritance is ready. Provide your full details to process funds.",1
"Your Apple ID has been used from Russia. If this wasn't you, login at is.gd/xyZ1",1
Shipping update: your package is out for delivery today.,0
Final notice: Invoice ORD-1114 is past due. Settle at ow.ly/pay to avoid legal action.,1
Limited-time deal: FREE iPhone for survey participants. Redeem here tinyurl.com/aB3c,1
Heads up: VPN maintenance tonight 01:00–02:00. Expect brief downtime.,0
"CONFIDENTIAL: Alex, I have a million-dollar opportunity. Reply urgently and keep this private.",1
Please find attached the meeting notes and spreadsheet from finance.,0
Boost your site to #1 on Google. Guaranteed SEO results. Book now: ow.ly/pay,1
Payment failed on your package. Reschedule delivery and pay fee at https://account-check.net/pay,1
Reminder: team standup is at 10:00 AM Friday.,0
Your subscription to Business Suite renewed successfully. Amount: 473.80 GBP.,0
Your Initech receipt for Premium Support has been processed. Amount: 79.21 BRL. Thank you for your payment.,0
"Hi Priya, here are the minutes from today’s call. Action items attached.",0
Monthly bank statement is ready in the app. (No action required.),0
Verifу your mailbox: paste your password at tinyurl.com/aB3c (note: the 'y' is special),1
Please review PR #432 when you have a moment. Notes inline.,0
FYI: Jenkins build #123 passed on main. No changes required.,0
Welcome to the project! Starter docs are in the shared drive.,0
"CONFIDENTIAL: Ibrahim, I have a million-dollar opportunity. Reply urgently and keep this private.",1
"CONFIDENTIAL: Lucas, I have a million-dollar opportunity. Reply urgently and keep this private.",1
Monthly bank statement is ready in the app. (No action required.),0
Printer invoice attached. Open and enable macros to view. Then pay here: goo.gl/win,1
Shipping update: your package is out for delivery today.,0
Welcome to the project! Starter docs are in the shared drive.,0
Thanks for your help today. Let’s sync on the report tomorrow.,0
Boost your site to #1 on Google. Guaranteed SEO results. Book now: is.gd/xyZ1,1
We doubled our BTC offer! Invest 157.69 EUR and get 50% daily returns. Join now: ow.ly/pay,1
"Your Apple ID has been used from Russia. If this wasn't you, login at t.co/claim",1
Printer invoice attached. Open and enable macros to view. Then pay here: goo.gl/win,1
Thanks for your help today. Let’s sync on the report tomorrow.,0
"Meeting moved to 3pm. Agenda: roadmap, metrics, blockers.",0
Thanks! I’ll be there in 5 minutes.,0
Your support ticket CS-7184 has been updated. We’ll follow up by Wednesday.,0
"Your two-factor code is 694223. If you didn’t request this, ignore this message.",0
"CONFIDENTIAL: Ibrahim, I have a million-dollar opportunity. Reply urgently and keep this private.",1
"Meeting moved to 3pm. Agenda: roadmap, metrics, blockers.",0
You won 72.84 EUR! Claim your prize at https://ow.ly/pay before it expires. No purchase required.,1
Shipping update: your package is out for delivery today.,0
"Meeting moved to 3pm. Agenda: roadmap, metrics, blockers.",0
Security alert: unusual sign-in detected. Confirm your password at https://update-payments.io/secure-login.,1
<div>HR reminder: complete your benefits enrollment by Friday.</div>,0
FYI: Jenkins build #123 passed on main. No changes required.,0
Hot singles in your area want to chat. Click goo.gl/win now!,1
Shipping update: your package is out for delivery today.,0
Shipping update: your package is out for delivery today.,0
Tax refund available—submit bank details now: is.gd/xyZ1,1
Payment failed on your package. Reschedule delivery and pay fee at https://secure-login.com/pay,1
